Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cyprus,CYP,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,-4.21400749836237,-2.31206956810388,1.87898834043787,-1.37216194301788,-0.814544290526741,-1.6730237753263,-2.53082185464574,-2.14655090417816,-5.14823601186849,-0.929415229573692,-0.897314751443086,1.36548194013391,-1.50039325663723,-0.859762492186746,0.540121376479622,-8.41564922670611,-10.4955028426164,-7.28175098625904,-3.24272709375144,-2.23854078955298,-2.76659945636504,-6.49612647134382,-9.80211348675886,-7.99249611437921,-8.28782479894241,-5.32755063901187,-6.60919594480777,-10.5922490049796,-12.6854325158561,-8.42623197491895,-5.86619114896826,-3.95843748281471,3.42453313882896,-0.755582501373149,-6.59876655119594,-4.74271020104979,-5.68899672289978,-5.81728711031981,-5.05162001750654,-8.66718038736978,
Czech Republic,CZE,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145085536382922,-1.14287997673443,-0.870949266350867,-1.11065627582585,-1.55003478708716,-1.98372341473182,-2.013766593662,-3.31100930191391,-3.73421720004729,-5.52684965494344,-4.47064308646087,-2.94275548206602,-3.41282859398423,-3.88180538451515,-1.44156078353388,-1.37382930387568,-5.6820966350632,-4.54815055754795,-4.22579329180206,-2.33409456319734,,,
Germany,DEU,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,1.61919138018639,2.17595724900696,0.401575643161236,-1.87357208101985,-1.55397102896116,-1.10857151774897,-1.01706931394173,-0.87868384203715,-0.743816745724909,-1.2157420919064,-0.920999090723812,-0.904930893842663,-0.66154090144882,-0.0674933027386073,-0.0194396380640444,-0.415138862922514,-0.86112269606878,0.469029906897277,-0.515135222403465,-3.21369794454994,-2.40013686242125,-2.61462353058248,-1.85533437608248,-8.6109706909336,-2.86535983055775,-2.2313162871043,-2.41508649618725,-1.81574713726706,0.60742361657091,-2.15441430043352,-2.7126814294185,-2.74706316889481,-2.89819519250249,-2.85232476899942,-1.79517393736551,-0.823203624339993,-0.912778031181931,-2.7581006857756,-3.06175050192631,-0.47434076178638,0.0814923444385559,-0.054700406264845,0.409582768850857,
Djibouti,DJI,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.17212649499544,-7.72865679075299,-6.75602682011037,-3.59694610812018,-4.16056006475057,-1.5,0.55977229601518,-0.931458699472759,-2.70816491511722,-2.12717638152914,-6.26406601650413,-8.43426883308715,-11.7786259541985,,,
Denmark,DNK,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,4.14849223507109,4.77301127318837,2.15467433060127,-0.394741324559461,0.893042511782858,0.232762940268934,0.717750565108393,0.109218758013065,-2.25311870762645,-4.48500088420778,-6.18471927230027,-5.04303143893474,-2.70037113435806,0.355520833856667,4.63391986017912,4.34826807008121,2.87671882949902,1.60896873720486,-0.417264458222265,-1.23378728510287,-1.30569253728234,-1.91778011186002,-2.19769868561922,-5.5884176932955,-3.71894365271354,-2.64717154596036,-1.95516306202086,-1.0272883793347,0.141079419283268,-0.450009678562419,-1.20388211343777,-1.69737141425341,0.272850303310942,3.90031870419662,4.10812775607011,3.36285926552841,1.70882875029137,-3.95370711194752,-2.61629700958886,-2.18298858298553,-3.62037049332714,-1.17787047154745,,
Dominican Republic,DOM,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,6.15911035072712,5.78752103840666,5.7868471424665,9.64909816772433,5.22346523316964,,3.47059316353887,-1.52578741678571,0.193032722168109,0.378423018533728,-1.13134099203889,-0.717930866180343,1.01835362672366,0.236915514379979,2.49990170521473,5.21389410248542,5.14543132577312,5.9932067224715,0.589004101306416,0.238847568583605,2.51215954097956,0.090687555446777,-0.512469148212949,0.599456192311228,-0.211432496569137,0.330729292893221,0.482230285772295,-0.369197756594781,0.836411017303804,0.271670859999582,-0.154489531139049,1.15999037445749,-1.3877438197898,-0.499382416550163,-0.815311950839716,0.283003702542196,-3.63969385904726,-3.47838669869453,-2.78855136749834,-2.47315162691163,-6.18091139559002,-3.18001200841843,,
Algeria,DZA,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.98437831184418,-1.26183082771168,2.9629569635279,2.28300126115888,-3.57632911431083,-0.345438935808731,9.70144338109036,4.36468127204829,1.16300333585148,5.5067457635825,5.30929889946632,13.3948704304653,13.1805222737958,4.97493467342873,9.27913360368648,-4.49177473633188,0.407202933722431,-0.282893441799994,,,,
East Asia & Pacific (excluding high income),EAP,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.29756392778519,-1.52548314543933,-2.05230590356003,-2.41620498280732,-1.5463741330373,-1.37687965855073,-1.57028731364025,-2.1529396766259,-3.16790545785327,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.6681831133522,3.7138165813816,,,-5.48261460961146,-0.992317742926036,1.20151457227743,1.3887841694023,4.77059260986896,1.16653179686842,3.29547201789504,,,,1.77744783692819,-6.72751459815209,-2.52839973869697,1.03188458568734,0.67836994728943,0.439027577119703,0.89809208438301,
