,,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
56,TCD,Chad,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"-2,295,672","-3,656,010","-8,560,483","-3,682,325","-1,068,359","960,053","1,041,814","-4,960,085","-2,250,353","-8,827,384","-10,172,020","-13,321,620","-9,444,603","-20,751,860","-2,328,904","2,637,029","-11,428,060","-7,337,834",,,,,,,,,,,,,,
57,CHI,Channel Islands,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,CHL,Chile,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-285,000,000","-325,000,000","-365,000,000","-489,000,000","-676,000,000","-1,000,000,000","-1,556,000,000","-2,002,000,000","-1,761,000,000","-2,037,000,000","-2,055,200,000","-1,903,900,000","-1,728,000,000","-1,931,300,000","-1,939,600,000","-1,737,400,000","-1,927,900,000","-1,880,700,000","-1,656,400,000","-2,499,300,000","-2,713,500,000","-2,517,627,000","-2,617,111,000","-1,888,753,000","-2,233,135,000","-2,855,581,000","-2,526,214,000","-2,846,704,000","-4,488,675,000","-7,836,689,000","-10,487,110,000","-18,401,030,000","-18,594,560,000","-14,563,030,000"
59,CHN,China,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,"451,000,000","1,254,000,000","1,620,000,000","932,000,000","176,000,000","-215,000,000","-161,000,000","229,000,000","1,055,000,000","840,000,000","248,000,000","-1,284,000,000","-1,038,000,000","-11,773,840,000","-12,437,000,000","-11,005,000,000","-16,644,000,000","-14,470,000,000","-14,666,460,000","-19,175,000,000","-14,945,530,000","-7,838,361,000","-3,522,669,000","10,635,140,000","15,156,470,000","25,688,490,000","31,437,960,000"
60,COL,Colombia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,"-100,000,000","-132,000,000","-173,000,000","-175,363,600","-197,628,000","-210,789,400","-185,603,300","-322,070,800","-356,472,300","-317,618,900","-340,644,000","-291,220,000","-245,239,500","-484,228,600","-968,408,500","-1,215,000,000","-1,575,000,000","-1,675,000,000","-1,748,000,000","-1,990,000,000","-1,745,000,000","-2,299,000,000","-2,305,000,000","-2,089,200,000","-2,021,800,000","-1,782,400,000","-1,458,218,000","-1,596,201,000","-2,062,427,000","-2,325,755,000","-1,696,707,000","-1,355,223,000","-2,276,860,000","-2,609,020,000","-2,866,520,000","-3,397,910,000","-4,296,540,000","-5,456,520,000","-5,929,160,000","-7,846,590,000","-10,062,740,000"
61,COM,Comoros,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,"591,638","246,569","553,859","-459,242","-572,144","-1,393,405","-1,631,519","-1,121,337","-2,182,338","1,357,343","-855,792","-932,279","3,951,799","2,027,121","-67,243","1,009,731",,,,,,,,,,,,,
62,ZAR,Congo Dem. Rep.,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,COG,Congo Rep.,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,"-54,609,700","-93,032,380","-161,610,500","-112,173,000","-138,383,400","-173,859,600","-126,930,200","-228,026,800","-226,111,400","-255,667,400","-305,870,600","-361,119,100","-460,213,800","-382,833,600","-367,219,500","-373,636,900","-289,082,600","-695,127,900","-905,451,600","-521,752,600","-307,130,200","-540,208,600","-805,363,900","-678,812,900","-860,272,800","-586,028,600","-948,541,400","-1,577,915,000","-1,752,567,000","-1,884,754,000",
64,CRI,Costa Rica,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"-75,000,000","-107,500,000","-143,300,000","-212,100,000","-302,002,500","-368,600,000","-328,900,000","-307,803,900","-275,810,000","-270,900,000","-289,930,000","-342,600,000","-369,600,000","-232,700,000","-173,900,000","-202,600,000","-225,400,000","-128,400,000","-225,500,000","-184,240,000","-248,960,000","-468,510,000","-1,821,627,000","-1,252,435,000","-679,348,000","-439,793,400","-775,878,600","-444,303,500","-208,522,100","4,275,775","-864,723,400","-388,963,700"
65,CIV,Cote d'Ivoire,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-139,515,600","-156,936,300","-192,934,100","-307,104,800","-447,533,200","-552,822,100","-508,222,400","-499,381,900","-501,750,300","-493,412,800","-665,979,600","-646,826,900","-879,427,100","-920,938,900","-940,100,900","-1,091,217,000","-1,111,635,000","-1,080,880,000","-790,005,500","-683,711,800","-786,539,600","-768,836,200","-668,015,200","-707,032,400","-756,665,000","-652,896,800","-585,805,500","-629,726,600","-659,461,100","-651,680,700","-653,207,200","-710,271,600","-809,421,800","-893,620,700"
